onset	duration	concept	condition
2.581836	0.5	olive 	subFA
5.631461	0.5	courgette 	subFA
14.680485	0.5	penguin 	subCR
20.229971	0.5	rollerskate 	subHits
30.778942	0.5	horse 	subMiss
34.823291	0.5	eye 	subFA
45.362401	0.5	skateboard 	subHits
55.406356	0.5	lobster 	subCR
58.456036	0.5	eel 	subCR
67.005133	0.5	plum 	subFA
74.054332	0.5	sandwich 	subHits
79.603771	0.5	whisky 	subHits
86.153163	0.5	monkey 	subFA
95.702155	0.5	kangaroo 	subCR
98.746356	0.5	dice 	subMiss
104.285889	0.5	orchid 	subFA
109.830706	0.5	bayonet 	subCR
119.379709	0.5	pumpkin 	subFA
125.429087	0.5	hair 	subCR
132.478397	0.5	radish 	subCR
136.027906	0.5	doorknob 	subCR
143.577232	0.5	dress 	subHits
151.126431	0.5	cake 	subCR
160.175545	0.5	strainer 	subHits
168.224692	0.5	duck 	subHits
172.274268	0.5	gin 	subCR
180.323435	0.5	sardine 	subHits
184.873018	0.5	train 	subCR
194.42209	0.5	bucket 	subCR
204.970886	0.5	jeans 	subHits
208.515401	0.5	crab 	subMiss
217.053854	0.5	seagull 	subMiss
223.093507	0.5	beer 	subHits
226.632623	0.5	cart 	subCR
233.677918	0.5	hyacinth 	subFA
241.227207	0.5	balloon 	subCR
252.269944	0.5	ladle 	subHits
256.815545	0.5	dog 	subCR
260.859759	0.5	satsuma 	subCR
270.404529	0.5	cow 	subCR
279.947757	0.5	buttercup 	subMiss
286.992453	0.5	starling 	subCR
290.042125	0.5	landrover 	subFA
296.601485	0.5	basket 	subCR
306.650408	0.5	giraffe 	subFA
313.694133	0.5	ear 	subHits
317.239387	0.5	leek 	subHits
327.7883	0.5	coffee 	subMiss
332.837856	0.5	heart 	subHits
337.387382	0.5	armour 	subHits
343.436822	0.5	gunieapig 	subFA
350.986159	0.5	pineapple 	subHits
359.535037	0.5	clock 	subHits
367.084233	0.5	bat 	subFA
376.133532	0.5	swing 	subHits
386.182487	0.5	strawberry 	subFA
394.231651	0.5	wren 	subCR
404.774888	0.5	bone 	subHits
411.319942	0.5	whale 	subHits
422.368766	0.5	soup 	subHits
427.413243	0.5	cork 	subHits
432.457756	0.5	skunk 	subCR
438.507218	0.5	canopener 	subCR
448.556133	0.5	drum 	subCR
453.605617	0.5	sycamore 	subHits
463.654938	0.5	turnip 	subFA
468.704064	0.5	tank 	subHits
479.752961	0.5	daisy 	subMiss
488.302109	0.5	grenade 	subCR
492.351678	0.5	icecream 	subCR
501.400741	0.5	sparrow 	subMiss
512.454945	0.5	cheetah 	subCR
520.498757	0.5	ostrich 	subFA
527.048126	0.5	nut 	subHits
536.097227	0.5	grapes 	subHits
542.140321	0.5	hoe 	subCR
550.685672	0.5	tent 	subHits
554.735279	0.5	cap 	subCR
559.284818	0.5	tongue 	subCR
562.834534	0.5	bee 	subHits
573.883216	0.5	tea 	subHits
