onset	duration	concept	condition
2.574552	0.5	tricycle 	subHits
5.624303	0.5	deckchair 	subHits
14.673303	0.5	trolley 	subHits
20.222722	0.5	panther 	subCR
30.771665	0.5	rabbit 	subMiss
34.821244	0.5	tray 	subHits
45.37016	0.5	helicopter 	subHits
55.419172	0.5	blueberry 	subHits
58.468822	0.5	spinach 	subMiss
67.01795	0.5	salmon 	subHits
74.067101	0.5	fir 	subHits
79.61668	0.5	walrus 	subFA
86.16603	0.5	peas 	subHits
95.709855	0.5	pony 	subCR
98.748307	0.5	spider 	subCR
104.294065	0.5	wheel 	subFA
109.863522	0.5	lamb 	subCR
119.40732	0.5	ketchup 	subHits
125.451856	0.5	llama 	subHits
132.501194	0.5	kingfisher 	subCR
136.050829	0.5	bin 	subHits
143.593944	0.5	stickinsect 	subHits
151.139184	0.5	woodpecker 	subHits
160.188607	0.5	ladybird 	subHits
168.237481	0.5	mayonnaise 	subHits
172.28702	0.5	bicycle 	subHits
180.330125	0.5	platypus 	subHits
184.870336	0.5	raspberry 	subHits
194.417622	0.5	wallet 	subCR
204.957931	0.5	bra 	subCR
208.503356	0.5	hedgehog 	subHits
217.052309	0.5	saxophone 	subHits
223.095671	0.5	crossbow 	subMiss
226.635601	0.5	cider 	subCR
233.674713	0.5	key 	subHits
241.214535	0.5	raisin 	subHits
252.258751	0.5	hawk 	subFA
256.808228	0.5	caterpillar 	subHits
260.852378	0.5	cup 	subHits
270.396923	0.5	banana 	subCR
279.945842	0.5	dove 	subFA
286.995127	0.5	moped 	subCR
290.044842	0.5	revolver 	subHits
296.58835	0.5	anchor 	subHits
306.63312	0.5	chair 	subCR
313.677047	0.5	rhubarb 	subHits
317.221965	0.5	comb 	subHits
327.770972	0.5	chestnut 	subFA
332.82052	0.5	bus 	subCR
337.36389	0.5	cucumber 	subFA
343.409449	0.5	doll 	subCR
350.958554	0.5	tulip 	subHits
359.507731	0.5	recorder 	subHits
367.05678	0.5	lily 	subCR
376.105944	0.5	crowbar 	subHits
386.154879	0.5	gun 	subFA
394.204365	0.5	buckle 	subHits
404.747133	0.5	sweetpotato 	subCR
411.29593	0.5	television 	subCR
422.336085	0.5	cockerel 	subHits
427.380867	0.5	ox 	subCR
432.424195	0.5	van 	subHits
438.469555	0.5	ambulance 	subCR
448.518539	0.5	brush 	subHits
453.568062	0.5	spoon 	subCR
463.616934	0.5	bouquet 	subHits
468.666481	0.5	peg 	subHits
479.715293	0.5	harmonica 	subCR
488.264448	0.5	stove 	subHits
492.309005	0.5	onion 	subFA
501.353075	0.5	alligator 	subCR
512.402093	0.5	hummingbird 	subHits
520.451185	0.5	gong 	subFA
527.000532	0.5	owl 	subHits
536.049645	0.5	clamp 	subCR
542.093454	0.5	butter 	subCR
550.638	0.5	scissors 	subCR
554.681796	0.5	lorry 	subHits
559.222119	0.5	cauliflower 	subCR
562.766802	0.5	eagle 	subCR
573.816877	0.5	pie 	subHits
580.365176	0.5	grapefruit 	subHits
