onset	duration	concept	condition
2.629944	0.5	flea 	subMiss
5.68963	0.5	harp 	subHits
14.738774	0.5	wine 	subFA
20.288187	0.5	kiwi 	subHits
30.84166	0.5	comb 	subCR
34.917024	0.5	spear 	subHits
45.460591	0.5	currant 	subHits
55.498668	0.5	cricket 	subCR
58.544252	0.5	owl 	subCR
67.087317	0.5	violin 	subMiss
74.127386	0.5	caravan 	subHits
79.666529	0.5	peanut 	subCR
86.204934	0.5	jeep 	subCR
95.750438	0.5	bench 	subHits
98.793763	0.5	potato 	subHits
104.33961	0.5	rifle 	subFA
109.889048	0.5	grenade 	subFA
119.438073	0.5	porcupine 	subFA
125.481168	0.5	artichoke 	subHits
132.521044	0.5	stone 	subCR
136.059452	0.5	bottle 	subCR
143.605599	0.5	octopus 	subHits
151.149013	0.5	parsley 	subHits
160.187178	0.5	tulip 	subCR
168.263121	0.5	plum 	subHits
172.307141	0.5	daisy 	subHits
180.346181	0.5	cheetah 	subHits
184.885785	0.5	radio 	subHits
194.424105	0.5	worm 	subHits
204.963218	0.5	sledge 	subCR
208.503215	0.5	peacock 	subHits
217.042622	0.5	apple 	subHits
223.081358	0.5	guitar 	subFA
226.627229	0.5	desk 	subCR
233.670834	0.5	centipede 	subCR
241.208778	0.5	rhubarb 	subHits
252.249438	0.5	donkey 	subHits
256.787759	0.5	saw 	subMiss
260.827574	0.5	lizard 	subMiss
270.366832	0.5	gun 	subHits
279.911882	0.5	camera 	subMiss
286.954109	0.5	cigarette 	subCR
289.994491	0.5	toaster 	subCR
296.534108	0.5	drum 	n/a
306.5727	0.5	leg 	n/a
313.612132	0.5	pickle 	subHits
317.151874	0.5	lamp 	subMiss
327.6911	0.5	landrover 	subCR
332.731331	0.5	trolley 	subCR
337.276139	0.5	hyacinth 	n/a
343.319971	0.5	ambulance 	subCR
350.858356	0.5	candle 	n/a
359.403813	0.5	nail 	subCR
366.947279	0.5	ketchup 	n/a
375.985942	0.5	motorcycle 	n/a
386.031266	0.5	buggy 	n/a
394.080372	0.5	chisel 	subMiss
404.622386	0.5	coffeepot 	subCR
411.168645	0.5	mitten 	n/a
422.21076	0.5	ball 	subHits
427.257073	0.5	melon 	n/a
432.301275	0.5	brusselsprouts 	n/a
438.339381	0.5	icecream 	subHits
448.385097	0.5	Kettle 	n/a
453.428512	0.5	cushion 	subCR
463.467075	0.5	oyster 	n/a
468.51289	0.5	knife 	subMiss
479.555473	0.5	heron 	n/a
488.100957	0.5	cello 	n/a
492.14451	0.5	frog 	n/a
501.183029	0.5	banjo 	n/a
512.228512	0.5	cage 	n/a
520.271779	0.5	buttercup 	subCR
526.810974	0.5	rock 	subMiss
535.850832	0.5	mango 	n/a
541.889287	0.5	train 	n/a
550.428013	0.5	bayonet 	n/a
554.467434	0.5	sweetpotato 	n/a
559.008584	0.5	lorry 	n/a
562.547506	0.5	jeans 	n/a
573.58534	0.5	iguana 	n/a
580.125901	0.5	cart 	n/a
