onset	duration	concept	condition
2.580148	0.5	swan 	subHits
5.629819	0.5	carp 	subHits
14.673296	0.5	avocado 	subMiss
20.218167	0.5	patridge 	subCR
30.767122	0.5	cricket 	subFA
34.816716	0.5	owl 	subCR
45.359253	0.5	slug 	subHits
55.398973	0.5	broom 	subCR
58.438503	0.5	peas 	subMiss
66.983255	0.5	cigar 	subCR
74.026313	0.5	dog 	subCR
79.565635	0.5	dove 	subCR
86.111299	0.5	cap 	subCR
95.660372	0.5	lemon 	subFA
98.703802	0.5	sparrow 	subHits
104.249426	0.5	spade 	subFA
109.793894	0.5	goat 	subCR
119.331422	0.5	banjo 	subCR
125.370414	0.5	pumpkin 	subMiss
132.416475	0.5	sledge 	subMiss
135.966021	0.5	lettuce 	subCR
143.509873	0.5	typewriter 	subHits
151.049153	0.5	pansy 	subCR
160.088314	0.5	comb 	subHits
168.126847	0.5	stone 	subCR
172.172312	0.5	woodpecker 	subFA
180.215813	0.5	lemonade 	subHits
184.760942	0.5	eye 	subHits
194.303864	0.5	tractor 	subHits
204.843429	0.5	toad 	subHits
208.382064	0.5	prune 	subHits
216.921494	0.5	gorilla 	subFA
222.960583	0.5	stickinsect 	subCR
226.501041	0.5	cigarette 	subCR
233.539205	0.5	clarinet 	subHits
241.08504	0.5	cloak 	subHits
252.128662	0.5	pliers 	subHits
256.673399	0.5	dandelion 	subCR
260.717415	0.5	coffee 	subMiss
270.2621	0.5	mayonnaise 	subHits
279.804642	0.5	oven 	subCR
286.843296	0.5	beer 	subFA
289.885171	0.5	bookcase 	subFA
296.423167	0.5	fox 	n/a
306.468165	0.5	whale 	subMiss
313.511243	0.5	rose 	subCR
317.05714	0.5	chipmunk 	subCR
327.600489	0.5	rock 	subFA
332.645514	0.5	gunieapig 	subFA
337.189426	0.5	ladle 	subMiss
343.22922	0.5	bag 	subMiss
350.768642	0.5	car 	subCR
359.312732	0.5	goose 	subHits
366.861942	0.5	yoghurt 	subCR
375.905051	0.5	stool 	subFA
385.943899	0.5	screw 	subHits
393.983675	0.5	robe 	subCR
404.527983	0.5	jam 	subCR
411.070917	0.5	ketchup 	subCR
422.116106	0.5	recorder 	subCR
427.165658	0.5	ear 	subFA
432.209053	0.5	cockerel 	n/a
438.254515	0.5	artichoke 	n/a
448.296874	0.5	raven 	subFA
453.34282	0.5	hair 	subFA
463.386213	0.5	mat 	subCR
468.425322	0.5	microscope 	subMiss
479.464814	0.5	deckchair 	subFA
488.009329	0.5	walrus 	subHits
492.058934	0.5	bicycle 	subMiss
501.102885	0.5	turtle 	subHits
512.141147	0.5	cherries 	subFA
520.186016	0.5	violin 	subFA
526.728344	0.5	rake 	n/a
535.774382	0.5	orange 	subFA
541.817495	0.5	cat 	subHits
550.356019	0.5	tights 	subHits
554.397323	0.5	chandelier 	subFA
558.941948	0.5	broccoli 	subFA
562.486729	0.5	strawberry 	subCR
573.525496	0.5	celery 	subMiss
580.06979	0.5	belt 	subFA
