onset	duration	concept	condition
2.58422	0.5	rifle 	subCR
5.62666	0.5	cockerel 	subMiss
14.666323	0.5	unicycle 	subHits
20.205274	0.5	robe 	subCR
30.751388	0.5	sink 	subCR
34.795846	0.5	flamingo 	subHits
45.334291	0.5	bear 	subFA
55.371622	0.5	beaver 	subCR
58.410719	0.5	aeroplane 	subCR
66.957663	0.5	trombone 	subMiss
74.001367	0.5	otter 	subMiss
79.539075	0.5	bench 	subFA
86.079162	0.5	bat 	subCR
95.6176	0.5	van 	n/a
98.657416	0.5	flute 	subHits
104.197329	0.5	ox 	subCR
109.737782	0.5	emu 	subFA
119.275744	0.5	mussel 	subMiss
125.321604	0.5	blouse 	subCR
132.364526	0.5	tray 	subCR
135.904856	0.5	pram 	subMiss
143.449922	0.5	camera 	subHits
150.991355	0.5	limousine 	subFA
160.030587	0.5	leotard 	subCR
168.072224	0.5	wheelchair 	subCR
172.116887	0.5	brick 	subFA
180.159534	0.5	buggy 	subHits
184.699002	0.5	toaster 	subCR
194.238591	0.5	cockroach 	subHits
204.777648	0.5	bayonet 	subCR
208.3229	0.5	rock 	subCR
216.872155	0.5	cauliflower 	subMiss
222.921523	0.5	millipede 	subHits
226.464301	0.5	carnation 	subCR
233.50449	0.5	turnip 	subHits
241.044197	0.5	bread 	subHits
252.082899	0.5	anchor 	subCR
256.628039	0.5	coach 	subHits
260.671066	0.5	armchair 	subMiss
270.21113	0.5	aubergine 	subFA
279.750032	0.5	buttercup 	subCR
286.789337	0.5	cat 	subCR
289.834561	0.5	gunieapig 	subHits
296.378075	0.5	drum 	n/a
306.41639	0.5	kitchenscale 	subCR
313.462094	0.5	dates 	subFA
317.005444	0.5	orchid 	subFA
327.544446	0.5	rattleske 	subCR
332.584736	0.5	olive 	subHits
337.139777	0.5	dolphin 	subFA
343.189381	0.5	chisel 	subFA
350.738243	0.5	oyster 	subCR
359.282197	0.5	dagger 	subHits
366.826665	0.5	duck 	subFA
375.875796	0.5	colander 	subHits
385.924682	0.5	termite 	subCR
393.968036	0.5	sweetpotato 	subCR
404.512795	0.5	swing 	subHits
411.056306	0.5	deer 	subCR
422.095907	0.5	bed 	subHits
427.1354	0.5	saxophone 	subCR
432.180025	0.5	candle 	subHits
438.229412	0.5	violin 	subCR
448.278322	0.5	harpsichord 	subHits
453.327928	0.5	motorcycle 	subHits
463.376721	0.5	basket 	subCR
468.427323	0.5	scorpion 	subCR
479.475238	0.5	hyena 	subCR
488.01832	0.5	spatula 	subHits
492.057266	0.5	pillow 	subCR
501.102999	0.5	shawl 	subHits
512.152293	0.5	dishwasher 	subMiss
520.194461	0.5	beetle 	subHits
526.740454	0.5	flour 	n/a
535.7894	0.5	comb 	subCR
541.838811	0.5	cucumber 	subMiss
550.388001	0.5	arrow 	subCR
554.43086	0.5	slug 	subMiss
558.971351	0.5	scissors 	subCR
562.510259	0.5	lips 	subHits
573.555495	0.5	bullet 	subFA
