onset	duration	concept	condition
2.614872	0.5	robin 	subHits
5.664154	0.5	butter 	subMiss
14.7092	0.5	salmon 	subMiss
20.258602	0.5	canoe 	subMiss
30.811914	0.5	cigarette 	subMiss
34.8501	0.5	kangaroo 	subFA
45.417536	0.5	nail 	subHits
55.464998	0.5	gerbil 	subCR
58.514668	0.5	rhino 	subFA
67.058737	0.5	thumbs 	subHits
74.103028	0.5	hummingbird 	subMiss
79.645575	0.5	car 	subMiss
86.185396	0.5	grater 	subFA
95.724366	0.5	kingfisher 	subFA
98.763189	0.5	ladle 	subFA
104.310228	0.5	bookcase 	subFA
109.852147	0.5	rattle 	subCR
119.391026	0.5	hoe 	subHits
125.430825	0.5	rabbit 	subHits
132.470209	0.5	gun 	subCR
136.011559	0.5	sword 	subHits
143.549607	0.5	patridge 	subCR
151.088963	0.5	tank 	subHits
160.133996	0.5	banana 	subMiss
168.183289	0.5	tomato 	subFA
172.2269	0.5	spoon 	subMiss
180.266702	0.5	penguin 	subCR
184.81149	0.5	raisin 	subMiss
194.353276	0.5	belt 	subFA
204.893864	0.5	lorry 	subMiss
208.433406	0.5	scallop 	subCR
216.970667	0.5	arm 	subHits
223.0124	0.5	lemonade 	subMiss
226.551416	0.5	helicopter 	subCR
233.591023	0.5	iguana 	subHits
241.130858	0.5	scarf 	subCR
252.168641	0.5	bean 	subHits
256.71404	0.5	balloon 	subCR
260.793536	0.5	onion 	subHits
270.335272	0.5	pistol 	subHits
279.875906	0.5	earmuffs 	subCR
286.920976	0.5	bolts 	subHits
289.964288	0.5	wasp 	subMiss
296.503511	0.5	mitten 	subCR
306.548944	0.5	fir 	subCR
313.591401	0.5	bomb 	subMiss
317.131914	0.5	pineapple 	subHits
327.676906	0.5	bacon 	subCR
332.726276	0.5	oven 	subHits
337.268922	0.5	knife 	subCR
343.309038	0.5	doorknob 	subHits
350.849237	0.5	lantern 	subFA
359.388189	0.5	broccoli 	subMiss
366.925701	0.5	trumpet 	subFA
375.965613	0.5	ketchup 	subFA
386.010706	0.5	barrel 	subHits
394.053238	0.5	chicken 	subHits
404.598878	0.5	owl 	subCR
411.142048	0.5	watermelon 	subCR
422.181301	0.5	jam 	subCR
427.219315	0.5	gorilla 	subCR
432.258925	0.5	pumpkin 	subCR
438.298764	0.5	woodpecker 	subCR
448.338417	0.5	dog 	subCR
453.377663	0.5	chandelier 	subHits
463.415617	0.5	ant 	subFA
468.457041	0.5	leek 	subFA
479.501216	0.5	ear 	subMiss
488.044507	0.5	heron 	subHits
492.089961	0.5	alligator 	subMiss
501.138965	0.5	snail 	subCR
512.187933	0.5	pelican 	subHits
520.231743	0.5	gong 	subCR
526.769537	0.5	fox 	subHits
535.810588	0.5	spear 	subHits
541.847978	0.5	frog 	subMiss
550.388182	0.5	lobster 	subHits
554.427873	0.5	artichoke 	subHits
558.973122	0.5	bra 	subFA
562.516273	0.5	desk 	subHits
573.555826	0.5	pickle 	subCR
580.10104	0.5	trolley 	subFA
