onset	duration	concept	condition
2.580371	0.5	mug 	subMiss
5.627657	0.5	tuba 	subMiss
14.676673	0.5	carrot 	subFA
20.22084	0.5	jellyfish 	subCR
30.764953	0.5	rake 	subCR
34.814804	0.5	moped 	subMiss
45.363635	0.5	porcupine 	subMiss
55.412595	0.5	sparrow 	subMiss
58.456548	0.5	tangerine 	subHits
67.001493	0.5	swan 	subCR
74.05121	0.5	helmet 	subHits
79.600036	0.5	eucalyptus 	subCR
86.149799	0.5	cushion 	subMiss
95.698363	0.5	wolf 	subHits
98.748021	0.5	tent 	subCR
104.291289	0.5	finger 	subCR
109.830894	0.5	icecream 	subFA
119.370113	0.5	hammer 	subCR
125.41533	0.5	coin 	subHits
132.464498	0.5	eagle 	subFA
136.014095	0.5	moth 	subMiss
143.55816	0.5	microwave 	subMiss
151.096216	0.5	prune 	subCR
160.141576	0.5	stove 	subFA
168.190867	0.5	stone 	subCR
172.240456	0.5	coffeepot 	subCR
180.289607	0.5	tarantula 	subFA
184.839097	0.5	cabbage 	subCR
194.389	0.5	tongue 	subHits
204.937075	0.5	avocado 	subHits
208.480518	0.5	cap 	subFA
217.025906	0.5	truck 	subCR
223.068519	0.5	dragonfly 	subCR
226.609685	0.5	walrus 	subCR
233.654605	0.5	elephant 	subCR
241.203317	0.5	hyacinth 	subCR
252.252243	0.5	skirt 	subCR
256.802893	0.5	plate 	subCR
260.845519	0.5	jacket 	subHits
270.385035	0.5	wine 	subFA
279.929305	0.5	cart 	subCR
286.978617	0.5	sycamore 	subCR
290.022196	0.5	daffodil 	subCR
296.561915	0.5	magpie 	subFA
306.600838	0.5	zebra 	subMiss
313.645891	0.5	crayfish 	subFA
317.195545	0.5	nose 	subMiss
327.744435	0.5	biscuit 	n/a
332.786948	0.5	mosquito 	subCR
337.333436	0.5	yatch 	subCR
343.382765	0.5	beer 	subHits
350.932082	0.5	gown 	subCR
359.475274	0.5	cloak 	subCR
367.014016	0.5	whale 	subHits
376.059461	0.5	rollerskate 	subCR
386.118427	0.5	razor 	subCR
394.160994	0.5	sofa 	subCR
404.706461	0.5	harmonica 	subHits
411.25091	0.5	strawberry 	subMiss
422.294667	0.5	coat 	subHits
427.337584	0.5	pear 	subHits
432.377746	0.5	llama 	subHits
438.417346	0.5	raven 	subHits
448.461963	0.5	bouquet 	subHits
453.505441	0.5	cricket 	subCR
463.550385	0.5	jar 	subHits
468.5946	0.5	squirrel 	subHits
479.638822	0.5	caravan 	subFA
488.187829	0.5	tractor 	subHits
492.237479	0.5	coffeemachine 	subHits
501.286616	0.5	pliers 	subCR
512.335487	0.5	lizard 	subHits
520.37917	0.5	seal 	subHits
526.924025	0.5	yoghurt 	subHits
535.966827	0.5	corkscrew 	subHits
542.005522	0.5	shotgun 	subMiss
550.551692	0.5	ball 	subMiss
554.594232	0.5	rhubarb 	subHits
559.140796	0.5	ambulance 	subCR
562.690334	0.5	carp 	subMiss
573.739221	0.5	housefly 	subCR
580.288466	0.5	willow 	subHits
