onset	duration	concept	condition
2.577737	0.5	helmet 	n/a
5.627431	0.5	nail 	subFA
15.171476	0.5	octopus 	subFA
21.215919	0.5	rake 	subFA
31.758816	0.5	apple 	subFA
35.798104	0.5	moped 	subCR
46.843051	0.5	wheelchair 	subHits
56.886557	0.5	goose 	subHits
60.431768	0.5	grater 	subCR
69.480697	0.5	doll 	subHits
77.030024	0.5	skateboard 	subCR
82.571793	0.5	spade 	subHits
89.611782	0.5	brusselsprouts 	subFA
99.651315	0.5	spatula 	subHits
103.19116	0.5	peg 	subHits
109.236719	0.5	blouse 	subCR
114.780158	0.5	rifle 	subFA
124.825125	0.5	prawn 	subHits
131.374315	0.5	monkey 	subFA
138.418622	0.5	leek 	subHits
141.963387	0.5	jellyfish 	subCR
149.506964	0.5	taxi 	subFA
157.545429	0.5	fork 	subCR
167.09084	0.5	wren 	subCR
175.639797	0.5	garlic 	subFA
180.183819	0.5	cup 	subCR
188.228661	0.5	dice 	subHits
191.272225	0.5	pumpkin 	subHits
196.317842	0.5	spider 	subCR
205.860909	0.5	tongue 	subHits
216.899922	0.5	tuna 	subHits
220.939309	0.5	doughnut 	subFA
229.479071	0.5	whisk 	subHits
236.017689	0.5	ketchup 	subHits
239.557022	0.5	peacock 	subHits
246.596924	0.5	basket 	subHits
254.641778	0.5	jacket 	subHits
265.690631	0.5	gorilla 	subCR
270.740102	0.5	armchair 	subHits
275.283582	0.5	pear 	subFA
285.328735	0.5	salmon 	subHits
294.870381	0.5	clarinet 	subHits
302.41686	0.5	kitchenscale 	subHits
305.460516	0.5	gloves 	subHits
312.005993	0.5	pigeon 	subMiss
322.548782	0.5	coffeepot 	subHits
330.094183	0.5	coffee 	subHits
334.13823	0.5	lion 	subHits
345.177213	0.5	leotard 	subCR
350.722119	0.5	canopener 	subFA
355.264438	0.5	cherries 	subHits
361.304365	0.5	sock 	subMiss
369.343581	0.5	hedgehog 	subHits
378.3894	0.5	sweater 	subCR
385.938388	0.5	scarf 	subCR
395.487296	0.5	bicycle 	subHits
405.536289	0.5	bread 	subFA
413.588725	0.5	brandy 	subHits
416.63515	0.5	hornet 	subHits
427.178271	0.5	satsuma 	subHits
434.217286	0.5	caterpillar 	subCR
445.262254	0.5	barrel 	subFA
448.305887	0.5	shark 	subCR
453.34499	0.5	squirrel 	subHits
458.886086	0.5	lime 	subCR
465.430236	0.5	cigarette 	subHits
475.979134	0.5	bed 	subHits
481.522218	0.5	cigar 	subCR
492.062106	0.5	wolf 	subHits
497.106955	0.5	leopard 	subHits
505.655935	0.5	mussel 	subCR
510.199688	0.5	rollsroyce 	subCR
519.244688	0.5	television 	subHits
527.788791	0.5	onion 	subHits
534.827871	0.5	skirt 	subCR
543.87224	0.5	penknife 	subCR
549.921476	0.5	poppy 	subHits
558.96456	0.5	gunieapig 	subHits
563.010293	0.5	chestnut 	subHits
567.559608	0.5	stool 	subHits
571.609371	0.5	bus 	subHits
578.152545	0.5	locust 	subMiss
