onset	duration	concept	condition
2.7026	0.5	magpie 	subFA
5.763771	0.5	chipmunk 	subHits
14.88564	0.5	bookcase 	subFA
20.430749	0.5	blouse 	subMiss
30.982859	0.5	tent 	subFA
35.029787	0.5	jelly 	subHits
45.578121	0.5	cart 	subCR
55.628832	0.5	bowl 	subFA
58.676804	0.5	nose 	subCR
67.226021	0.5	leopard 	subCR
74.275276	0.5	armour 	subCR
79.819337	0.5	brush 	subHits
86.363986	0.5	drill 	subFA
95.912998	0.5	sugar 	subFA
98.962674	0.5	ketchup 	subFA
104.506128	0.5	whale 	subCR
110.045711	0.5	squirrel 	subHits
119.590521	0.5	oak 	subHits
125.634073	0.5	beetle 	subHits
132.67924	0.5	pansy 	subCR
136.228873	0.5	bus 	subCR
143.778119	0.5	caravan 	subFA
151.328192	0.5	raspberry 	subCR
160.376291	0.5	robin 	subHits
168.420056	0.5	raft 	subHits
172.459414	0.5	lizard 	subCR
180.534148	0.5	fridge 	subCR
185.083785	0.5	owl 	subHits
194.63481	0.5	flamingo 	subCR
205.181772	0.5	duck 	subHits
208.731207	0.5	chair 	subCR
217.274511	0.5	spatula 	subCR
223.319864	0.5	violin 	subFA
226.869455	0.5	chocolate 	subFA
233.918736	0.5	toaster 	subFA
241.462373	0.5	sparrow 	subMiss
252.506698	0.5	dates 	subHits
257.056339	0.5	pelican 	subCR
261.105861	0.5	pliers 	subCR
270.654885	0.5	belt 	subCR
280.199044	0.5	colander 	subFA
287.243216	0.5	pig 	subHits
290.2929	0.5	sandpaper 	subHits
296.842211	0.5	bed 	subHits
306.891169	0.5	helicopter 	subHits
313.934957	0.5	hornet 	subHits
317.47401	0.5	Kettle 	subCR
328.019114	0.5	yoghurt 	subFA
333.063762	0.5	tricycle 	subCR
337.607956	0.5	lantern 	subHits
343.65174	0.5	trolley 	subFA
351.196637	0.5	stone 	subHits
359.745682	0.5	celery 	subMiss
367.28909	0.5	asparagus 	subHits
376.327907	0.5	wine 	subHits
386.372955	0.5	coat 	subCR
394.422144	0.5	buggy 	subMiss
404.971124	0.5	banjo 	subHits
411.51555	0.5	skunk 	subFA
422.559234	0.5	whisk 	subCR
427.603579	0.5	blender 	subHits
432.648298	0.5	crane 	subCR
438.692241	0.5	rhubarb 	subFA
448.736689	0.5	broccoli 	subHits
453.780743	0.5	locust 	subHits
463.825102	0.5	raisin 	subCR
468.869337	0.5	gin 	subHits
479.913487	0.5	chisel 	subHits
488.457711	0.5	chicken 	subCR
492.502202	0.5	plum 	subCR
501.551291	0.5	broom 	subMiss
512.600077	0.5	cheetah 	subMiss
520.649225	0.5	cage 	subFA
527.198618	0.5	finger 	subHits
536.247744	0.5	piano 	subHits
542.297129	0.5	strawberry 	subCR
550.846474	0.5	cow 	subMiss
554.889882	0.5	sock 	subCR
559.435291	0.5	gloves 	subCR
562.985049	0.5	melon 	subFA
574.03387	0.5	thumbs 	subHits
580.577852	0.5	swan 	subHits
