onset	duration	concept	condition
2.570889	0.5	gong 	subHits
5.615718	0.5	wheelbarrow 	subHits
14.658878	0.5	coconut 	subHits
20.198719	0.5	violin 	subFA
30.737579	0.5	gerbil 	subHits
34.776911	0.5	hawk 	subCR
45.315632	0.5	rice 	subFA
55.354874	0.5	aubergine 	subHits
58.394394	0.5	apron 	subHits
66.939334	0.5	slug 	subCR
73.988581	0.5	lobster 	subCR
79.532791	0.5	box 	subMiss
86.071457	0.5	bookcase 	subCR
95.61664	0.5	anchor 	subFA
98.65986	0.5	currant 	subFA
104.200021	0.5	courgette 	subCR
109.744912	0.5	lime 	subHits
119.287998	0.5	napkin 	subCR
125.327877	0.5	lamb 	subHits
132.372684	0.5	tiger 	subFA
135.917078	0.5	turnip 	subHits
143.456034	0.5	whale 	subHits
150.994578	0.5	shirt 	subHits
160.03973	0.5	bean 	subFA
168.0827	0.5	wolf 	subCR
172.121114	0.5	bayonet 	subCR
180.15998	0.5	hoe 	subHits
184.70017	0.5	pliers 	subCR
194.246243	0.5	brick 	subFA
204.795101	0.5	stickinsect 	subCR
208.338479	0.5	skirt 	subHits
216.87805	0.5	wasp 	subCR
222.916365	0.5	centipede 	subFA
226.462787	0.5	ladybird 	subCR
233.505196	0.5	swing 	subFA
241.045342	0.5	champagne 	subFA
252.08436	0.5	beer 	subCR
256.633027	0.5	table 	subHits
260.673697	0.5	pony 	subHits
270.218319	0.5	arm 	subFA
279.760177	0.5	mirror 	subCR
286.806552	0.5	tongue 	subHits
289.850359	0.5	wheel 	subMiss
296.390318	0.5	porsche 	subHits
306.42912	0.5	seagull 	subHits
313.473851	0.5	bolts 	subHits
317.023555	0.5	bullet 	subFA
327.572407	0.5	bread 	subCR
332.61515	0.5	cigarette 	subHits
337.161338	0.5	bench 	subHits
343.205563	0.5	coffeepot 	subHits
350.749977	0.5	biscuit 	subCR
359.29911	0.5	bus 	subHits
366.841859	0.5	shotgun 	subHits
375.882007	0.5	heart 	subFA
385.926324	0.5	cucumber 	subHits
393.969209	0.5	jeep 	subHits
404.508807	0.5	peg 	subMiss
411.047291	0.5	mushroom 	subCR
422.087318	0.5	seal 	subCR
427.12687	0.5	buffalo 	subHits
432.171887	0.5	nut 	subFA
438.22091	0.5	mouse 	subHits
448.269912	0.5	chestnut 	subHits
453.319426	0.5	lips 	subFA
463.371942	0.5	pillow 	subMiss
468.41232	0.5	birch 	subFA
479.451444	0.5	caterpillar 	subCR
487.990766	0.5	belt 	subHits
492.035469	0.5	mitten 	subCR
501.079087	0.5	dandelion 	subFA
512.123435	0.5	lantern 	subHits
520.16719	0.5	raspberry 	subHits
526.705405	0.5	rhubarb 	subCR
535.744335	0.5	cello 	subFA
541.784519	0.5	arrow 	subHits
550.339343	0.5	crab 	subCR
554.388954	0.5	bee 	subHits
558.933362	0.5	chipmunk 	subFA
562.471668	0.5	mussel 	subCR
573.517026	0.5	helicopter 	subMiss
580.060705	0.5	duck 	subCR
