onset	duration	concept	condition
2.693833	0.5	dandelion 	subCR
5.783313	0.5	iguana 	subCR
14.834297	0.5	basket 	subCR
20.381804	0.5	emu 	subFA
30.940732	0.5	wasp 	subMiss
34.990416	0.5	bottle 	subHits
45.609325	0.5	toaster 	subHits
55.658267	0.5	monkey 	subCR
58.707938	0.5	ladle 	subFA
67.256974	0.5	doorknob 	subFA
74.306276	0.5	drill 	subCR
79.856012	0.5	oak 	subFA
86.405067	0.5	arm 	subHits
95.954805	0.5	bowl 	subCR
99.003738	0.5	elephant 	subCR
104.553195	0.5	trousers 	subCR
110.104268	0.5	raccoon 	subHits
119.651615	0.5	penguin 	subHits
125.701062	0.5	tea 	subHits
132.750476	0.5	key 	subMiss
136.299955	0.5	clam 	subHits
143.849176	0.5	knife 	subMiss
151.398393	0.5	cockroach 	subHits
160.447549	0.5	grenade 	subHits
168.496664	0.5	trumpet 	subHits
172.546231	0.5	scarf 	subCR
180.59544	0.5	wolf 	subCR
185.14498	0.5	belt 	subHits
194.69403	0.5	patridge 	subMiss
205.24292	0.5	corn 	subMiss
208.792892	0.5	table 	subMiss
217.341728	0.5	hamster 	subMiss
223.401098	0.5	icecream 	subFA
226.950791	0.5	ashtray 	subHits
233.999971	0.5	champagne 	subCR
241.549304	0.5	orchid 	subHits
252.599026	0.5	accordion 	subHits
257.147741	0.5	aeroplane 	subMiss
261.227576	0.5	microwave 	subCR
270.776293	0.5	starling 	subMiss
280.32544	0.5	kangaroo 	subMiss
287.374596	0.5	sword 	subFA
290.424569	0.5	drum 	subCR
296.973639	0.5	ball 	subHits
307.022622	0.5	microscope 	subHits
314.071907	0.5	gun 	subCR
317.621593	0.5	millipede 	subCR
328.170545	0.5	hyena 	subCR
333.220005	0.5	lamp 	subHits
337.769522	0.5	bear 	subCR
343.81892	0.5	crayfish 	subHits
351.368247	0.5	cauliflower 	subHits
359.917397	0.5	pineapple 	subCR
367.466545	0.5	cucumber 	subCR
376.515626	0.5	cod 	subCR
386.56461	0.5	cigarette 	subFA
394.613754	0.5	tangerine 	subCR
405.162777	0.5	gown 	subCR
411.712115	0.5	jeep 	subCR
422.760973	0.5	clarinet 	subFA
427.810468	0.5	mushroom 	subFA
432.859958	0.5	rock 	subHits
438.909345	0.5	soup 	subCR
448.958338	0.5	dragonfly 	subHits
454.007853	0.5	marigold 	subHits
464.067057	0.5	donkey 	subCR
469.126327	0.5	sultana 	subHits
480.175201	0.5	butter 	subCR
488.724337	0.5	sardine 	subHits
492.773898	0.5	pansy 	subFA
501.823021	0.5	moose 	subMiss
512.871944	0.5	pear 	subFA
520.921096	0.5	cat 	subCR
527.470444	0.5	cart 	subCR
536.519557	0.5	sofa 	subMiss
542.568912	0.5	tongue 	subHits
551.118068	0.5	bee 	subHits
555.16767	0.5	lily 	subHits
559.717257	0.5	spider 	subMiss
563.266889	0.5	bouquet 	subHits
574.315767	0.5	mayonnaise 	subFA
580.865088	0.5	termite 	subMiss
