onset	duration	concept	condition
2.578179	0.5	camera 	subFA
5.627788	0.5	radio 	subCR
14.670349	0.5	unicycle 	subHits
20.21629	0.5	dishwasher 	subFA
30.759917	0.5	rice 	subFA
34.799142	0.5	screwdriver 	subMiss
45.338586	0.5	bomb 	subHits
55.377218	0.5	bat 	subCR
58.422325	0.5	ladybird 	subCR
66.971459	0.5	raccoon 	subCR
74.020797	0.5	salmon 	subMiss
79.565078	0.5	bench 	subCR
86.102899	0.5	iguana 	subCR
95.648496	0.5	toaster 	subMiss
98.698076	0.5	skateboard 	subHits
104.247497	0.5	coat 	subHits
109.796998	0.5	wren 	subFA
119.339413	0.5	napkin 	subCR
125.385371	0.5	bowl 	subCR
132.427905	0.5	spoon 	subCR
135.967921	0.5	bottle 	subCR
143.513542	0.5	sock 	subCR
151.057087	0.5	dice 	subMiss
160.10198	0.5	hawk 	subFA
168.145397	0.5	rollsroyce 	subMiss
172.190552	0.5	wolf 	subFA
180.233486	0.5	canary 	subMiss
184.779236	0.5	sycamore 	subFA
194.322419	0.5	tent 	subHits
204.86716	0.5	dagger 	subFA
208.411477	0.5	bath 	subMiss
216.949293	0.5	saxophone 	subCR
222.995226	0.5	gin 	subCR
226.538553	0.5	frisbee 	subCR
233.577629	0.5	brush 	subHits
241.123362	0.5	gong 	subMiss
252.165844	0.5	leg 	subCR
256.70561	0.5	hedgehog 	subCR
260.744627	0.5	leotard 	subCR
270.290211	0.5	chestnut 	subHits
279.839377	0.5	axe 	subMiss
286.888518	0.5	eel 	subFA
289.938227	0.5	wine 	subCR
296.481496	0.5	pig 	subCR
306.520137	0.5	lantern 	subCR
313.559611	0.5	penguin 	subHits
317.100207	0.5	blouse 	subCR
327.644236	0.5	cauliflower 	subCR
332.693888	0.5	bus 	subMiss
337.243167	0.5	ant 	subFA
343.285779	0.5	arm 	subCR
350.831754	0.5	prawn 	subCR
359.380896	0.5	knife 	subMiss
366.924845	0.5	Kettle 	subHits
375.969162	0.5	nut 	subFA
386.017875	0.5	pram 	subMiss
394.061347	0.5	hamster 	subHits
404.60059	0.5	colander 	subCR
411.145325	0.5	yatch 	subMiss
422.194153	0.5	elephant 	subCR
427.236964	0.5	canopener 	subFA
432.277797	0.5	beetle 	subFA
438.316183	0.5	bayonet 	subCR
448.355277	0.5	satsuma 	subMiss
453.395489	0.5	raisin 	subMiss
463.439758	0.5	fir 	n/a
468.489321	0.5	plum 	subCR
479.532618	0.5	basket 	subCR
488.07208	0.5	motorcycle 	subHits
492.11095	0.5	sofa 	subFA
501.149171	0.5	saw 	subHits
512.189138	0.5	swimsuit 	subHits
520.228937	0.5	peg 	subHits
526.767571	0.5	tea 	subHits
535.805811	0.5	glodfish 	subHits
541.844755	0.5	raspberry 	subCR
550.383704	0.5	hoe 	subHits
554.423773	0.5	rattleske 	subHits
558.962986	0.5	mirror 	n/a
562.509207	0.5	snail 	subHits
573.558078	0.5	sandwich 	subHits
