onset	duration	concept	condition
2.584222	0.5	strawberry 	subHits
5.633093	0.5	penguin 	subCR
14.676563	0.5	marigold 	subHits
20.221661	0.5	flour 	subCR
30.770567	0.5	coach 	subFA
34.820187	0.5	ostrich 	subCR
45.369075	0.5	tractor 	subHits
55.417997	0.5	pillow 	subFA
58.462275	0.5	stool 	subFA
67.00685	0.5	currant 	subMiss
74.05646	0.5	turkey 	subFA
79.605587	0.5	cauliflower 	subHits
86.154939	0.5	goose 	subHits
95.699054	0.5	hair 	subCR
98.743718	0.5	geranium 	subFA
104.293101	0.5	elephant 	subCR
109.842505	0.5	accordion 	subCR
119.386252	0.5	whisky 	subCR
125.430974	0.5	bullet 	subHits
132.480301	0.5	canary 	subCR
136.029855	0.5	garlic 	subFA
143.573873	0.5	flute 	subCR
151.118378	0.5	brick 	subHits
160.16735	0.5	limousine 	subMiss
168.216541	0.5	mirror 	subCR
172.266176	0.5	giraffe 	subFA
180.315637	0.5	sink 	subCR
184.864994	0.5	prune 	subMiss
194.413944	0.5	gunieapig 	subHits
204.962878	0.5	raccoon 	subHits
208.512606	0.5	hammer 	subFA
217.061723	0.5	lorry 	subFA
223.111152	0.5	courgette 	subHits
226.660608	0.5	wren 	subCR
233.709929	0.5	bowl 	subHits
241.259192	0.5	leek 	subHits
252.30807	0.5	lobster 	subHits
256.857932	0.5	magpie 	subCR
260.900992	0.5	crossbow 	subMiss
270.440073	0.5	kingfisher 	subCR
279.98536	0.5	bin 	subFA
287.034577	0.5	mat 	subFA
290.084323	0.5	grenade 	subHits
296.628449	0.5	armour 	subCR
306.672574	0.5	panther 	subCR
313.721827	0.5	jacket 	subHits
317.271494	0.5	goat 	subMiss
327.814482	0.5	doll 	subCR
332.860003	0.5	coat 	subFA
337.409408	0.5	flea 	subCR
343.453471	0.5	bath 	subCR
350.992897	0.5	oyster 	subHits
359.537213	0.5	ox 	subCR
367.081701	0.5	rose 	subHits
376.12563	0.5	donkey 	subMiss
386.174925	0.5	ketchup 	subHits
394.223818	0.5	tights 	subCR
404.767175	0.5	spade 	subHits
411.311909	0.5	tuna 	subHits
422.360823	0.5	walrus 	subFA
427.404825	0.5	eel 	subCR
432.449783	0.5	melon 	subHits
438.493368	0.5	aeroplane 	subHits
448.538215	0.5	swimsuit 	subCR
453.587643	0.5	oak 	subHits
463.636641	0.5	cherries 	subCR
468.686442	0.5	cage 	subHits
479.7349	0.5	brandy 	subFA
488.283994	0.5	cup 	subCR
492.333569	0.5	wheelchair 	subCR
501.38264	0.5	squid 	subMiss
512.431823	0.5	duck 	subHits
520.480713	0.5	pelican 	subFA
527.030073	0.5	scissors 	subFA
536.079308	0.5	dates 	subHits
542.128423	0.5	plum 	subHits
550.677557	0.5	coffeepot 	subHits
554.727139	0.5	Kettle 	subHits
559.270978	0.5	bus 	subHits
562.810545	0.5	mosquito 	subHits
573.858953	0.5	apron 	subHits
