onset	duration	concept	condition
2.586703	0.5	oak 	subHits
5.639204	0.5	bed 	subCR
14.685373	0.5	lizard 	subCR
20.228199	0.5	bra 	subCR
30.767041	0.5	dandelion 	subHits
34.813272	0.5	satsuma 	subHits
45.362267	0.5	tank 	subHits
55.411185	0.5	mackerel 	subFA
58.460842	0.5	box 	subCR
67.00982	0.5	lemon 	subFA
74.059184	0.5	napkin 	subCR
79.608689	0.5	cannon 	subFA
86.157993	0.5	deckchair 	subHits
95.707027	0.5	sink 	subFA
98.756687	0.5	cockerel 	subHits
104.306034	0.5	flounder 	subCR
109.84998	0.5	tea 	subHits
119.395191	0.5	coin 	subCR
125.443901	0.5	carp 	subHits
132.493172	0.5	horse 	subCR
136.04318	0.5	turnip 	subFA
143.591962	0.5	platypus 	subFA
151.141266	0.5	gloves 	subHits
160.184315	0.5	yatch 	subHits
168.223445	0.5	lorry 	subFA
172.269081	0.5	scallop 	subCR
180.311846	0.5	lantern 	subFA
184.857787	0.5	sofa 	subFA
194.407952	0.5	spear 	subMiss
204.955708	0.5	jelly 	subCR
208.505296	0.5	raven 	subFA
217.048168	0.5	dog 	subHits
223.093768	0.5	chipmunk 	subFA
226.643403	0.5	raft 	subHits
233.686203	0.5	swimsuit 	subHits
241.231913	0.5	radio 	subHits
252.280715	0.5	raspberry 	subHits
256.831924	0.5	artichoke 	subFA
260.879918	0.5	tractor 	subCR
270.428941	0.5	mat 	subHits
279.977887	0.5	worm 	subCR
287.021466	0.5	nail 	subFA
290.066825	0.5	stove 	subHits
296.616245	0.5	sunflower 	subFA
306.665184	0.5	bomb 	subCR
313.708853	0.5	sardine 	subHits
317.253988	0.5	shawl 	subCR
327.802989	0.5	clarinet 	subFA
332.852467	0.5	flour 	subHits
337.40196	0.5	tuba 	subFA
343.451355	0.5	dagger 	subFA
351.000651	0.5	slug 	subHits
359.544535	0.5	anchor 	subHits
367.088818	0.5	termite 	subCR
376.131968	0.5	recorder 	subFA
386.176927	0.5	bayonet 	subCR
394.226132	0.5	apricot 	subCR
404.775023	0.5	grapefruit 	subHits
411.32432	0.5	cheetah 	subCR
422.373069	0.5	rollsroyce 	subHits
427.422679	0.5	icecream 	subHits
432.465856	0.5	bottle 	subFA
438.506041	0.5	eagle 	subCR
448.553563	0.5	chestnut 	subHits
453.600012	0.5	mayonnaise 	subCR
463.643599	0.5	buckle 	subFA
468.688292	0.5	revolver 	subFA
479.737121	0.5	hair 	subHits
488.28829	0.5	eucalyptus 	subFA
492.335789	0.5	trumpet 	subFA
501.378956	0.5	seal 	subCR
512.42701	0.5	cheese 	subHits
520.467712	0.5	tongue 	subCR
527.007009	0.5	onion 	subMiss
536.05132	0.5	armour 	subHits
542.100636	0.5	skunk 	subCR
550.642832	0.5	cauliflower 	subCR
554.689475	0.5	moth 	subFA
559.238936	0.5	swing 	subHits
562.782574	0.5	leg 	subFA
573.827356	0.5	leek 	subFA
