onset	duration	concept	condition
2.586227	0.5	rifle 	subCR
5.635854	0.5	carp 	subHits
14.694866	0.5	blueberry 	subMiss
20.238488	0.5	pillow 	subHits
30.783266	0.5	stool 	subHits
34.82712	0.5	bean 	subHits
45.372102	0.5	robin 	subFA
55.415141	0.5	oven 	subHits
58.460519	0.5	skateboard 	subMiss
67.009533	0.5	cucumber 	subCR
74.058941	0.5	screw 	subHits
79.60325	0.5	dates 	subFA
86.149742	0.5	carrot 	subMiss
95.690938	0.5	skirt 	subHits
98.73631	0.5	dandelion 	subFA
104.285764	0.5	peg 	subHits
109.830228	0.5	courgette 	subFA
119.368907	0.5	dagger 	subHits
125.407178	0.5	centipede 	subMiss
132.452965	0.5	swan 	subFA
135.996371	0.5	finger 	subMiss
143.536195	0.5	dog 	subCR
151.080944	0.5	tomato 	subCR
160.130571	0.5	harpsichord 	subHits
168.179279	0.5	prune 	subHits
172.228951	0.5	rollsroyce 	subFA
180.272318	0.5	banana 	subHits
184.812336	0.5	cockerel 	subHits
194.356524	0.5	carnation 	subFA
204.905604	0.5	table 	subCR
208.455125	0.5	geranium 	subFA
217.014353	0.5	llama 	subCR
223.063576	0.5	celery 	subFA
226.60707	0.5	bat 	subCR
233.652519	0.5	pony 	subHits
241.201739	0.5	helicopter 	n/a
252.250665	0.5	hyacinth 	subCR
256.800159	0.5	trombone 	subCR
260.849925	0.5	buggy 	subHits
270.393719	0.5	tortoise 	subCR
279.937987	0.5	whisky 	n/a
286.981406	0.5	sweetpotato 	subCR
290.026754	0.5	lemon 	subHits
296.570901	0.5	guitar 	subFA
306.615128	0.5	armour 	subHits
313.664409	0.5	pear 	subCR
317.214007	0.5	dolphin 	subCR
327.762984	0.5	chandelier 	subHits
332.812403	0.5	sledge 	subCR
337.356228	0.5	coffeepot 	subCR
343.396332	0.5	jeep 	subCR
350.940888	0.5	lemonade 	subCR
359.484761	0.5	coffee 	subMiss
367.028968	0.5	yoghurt 	subCR
376.078189	0.5	pig 	subMiss
386.127183	0.5	piano 	subMiss
394.17637	0.5	cup 	subHits
404.719922	0.5	tray 	subCR
411.264968	0.5	saxophone 	subFA
422.316757	0.5	zebra 	subFA
427.362939	0.5	rose 	subFA
432.406194	0.5	bed 	subHits
438.451862	0.5	car 	subCR
448.534017	0.5	grapes 	subCR
453.580322	0.5	sandwich 	subMiss
463.629208	0.5	arm 	subHits
468.678777	0.5	patridge 	subCR
479.72757	0.5	raccoon 	subHits
488.270992	0.5	fox 	subCR
492.310857	0.5	chair 	subMiss
501.355548	0.5	grater 	subHits
512.404461	0.5	fork 	subCR
520.456488	0.5	tights 	subHits
527.002816	0.5	swing 	subMiss
536.051991	0.5	colander 	subFA
542.101341	0.5	turtle 	subHits
550.650394	0.5	lion 	subHits
554.700051	0.5	camel 	subCR
559.244045	0.5	iguana 	subHits
562.783456	0.5	horse 	subMiss
573.828315	0.5	heron 	subMiss
580.377525	0.5	pansy 	subHits
