onset	duration	concept	condition
2.577111	0.5	mushroom 	subFA
5.626739	0.5	turkey 	subFA
14.670012	0.5	doughnut 	subFA
20.20967	0.5	artichoke 	subHits
30.754131	0.5	violin 	subFA
34.796787	0.5	helmet 	subCR
45.336763	0.5	ship 	subFA
55.381696	0.5	jeans 	subFA
58.424698	0.5	locust 	subHits
66.970378	0.5	clam 	subFA
74.019651	0.5	wheel 	subHits
79.569099	0.5	oyster 	subFA
86.118416	0.5	balloon 	subFA
95.661075	0.5	wheelbarrow 	subHits
98.70058	0.5	trowel 	subFA
104.246527	0.5	wasp 	subCR
109.789822	0.5	mug 	subFA
119.334972	0.5	parakeet 	subCR
125.377704	0.5	moose 	subHits
132.423651	0.5	budgie 	subMiss
135.973294	0.5	microscope 	subHits
143.517494	0.5	octopus 	subFA
151.056485	0.5	chipmunk 	subHits
160.095476	0.5	tomato 	subHits
168.134205	0.5	centipede 	subHits
172.173111	0.5	buttercup 	subHits
180.218686	0.5	turnip 	subFA
184.768274	0.5	orange 	subFA
194.317335	0.5	strainer 	subCR
204.866171	0.5	buggy 	subCR
208.410173	0.5	termite 	subHits
216.949402	0.5	tank 	subHits
222.988002	0.5	eagle 	subFA
226.527201	0.5	rattle 	subCR
233.573196	0.5	cannon 	subFA
241.122471	0.5	starling 	subCR
252.171317	0.5	sweetpotato 	subCR
256.720933	0.5	sunflower 	subFA
260.764755	0.5	nose 	subHits
270.303125	0.5	leotard 	subHits
279.8415	0.5	squid 	subMiss
286.880485	0.5	rollingpin 	subHits
289.920108	0.5	helicopter 	subHits
296.460542	0.5	dagger 	subCR
306.498946	0.5	whale 	subHits
313.544953	0.5	beaver 	subCR
317.0947	0.5	soup 	subCR
327.638072	0.5	bear 	subCR
332.676892	0.5	emu 	subHits
337.222498	0.5	swan 	subFA
343.265068	0.5	dragonfly 	subCR
350.805027	0.5	asparagus 	subHits
359.350263	0.5	ostrich 	subHits
366.893554	0.5	frog 	subHits
375.938667	0.5	lorry 	subCR
385.987431	0.5	bus 	subHits
394.030941	0.5	blender 	subMiss
404.569589	0.5	millipede 	subFA
411.10841	0.5	champagne 	subFA
422.14787	0.5	bin 	subHits
427.18729	0.5	heart 	subHits
432.226437	0.5	corkscrew 	subHits
438.265612	0.5	tricycle 	subFA
448.310992	0.5	thumbs 	subCR
453.360514	0.5	coin 	subFA
463.409469	0.5	skirt 	subMiss
468.452564	0.5	grater 	subFA
479.497782	0.5	aubergine 	subFA
488.04089	0.5	flamingo 	subFA
492.080486	0.5	box 	subHits
501.125865	0.5	fridge 	subHits
512.174432	0.5	owl 	subFA
520.22358	0.5	pansy 	subFA
526.766963	0.5	spinach 	subCR
535.806611	0.5	biscuit 	subFA
541.851316	0.5	geranium 	subCR
550.394905	0.5	brick 	subHits
554.433352	0.5	panther 	subFA
558.972702	0.5	buffalo 	subHits
562.512611	0.5	tray 	subHits
573.558081	0.5	prune 	subFA
580.101845	0.5	pigeon 	subFA
