onset	duration	concept	condition
2.572333	0.5	hedgehog 	subHits
5.618284	0.5	sardine 	subFA
14.66727	0.5	kitchenscale 	subHits
20.209891	0.5	nail 	subFA
30.748855	0.5	salmon 	subHits
34.795203	0.5	jellyfish 	subCR
45.344131	0.5	oak 	subHits
55.393152	0.5	fir 	subMiss
58.436774	0.5	duck 	subHits
66.98188	0.5	hummingbird 	subFA
74.025138	0.5	microwave 	subCR
79.564097	0.5	alligator 	subCR
86.103293	0.5	revolver 	subMiss
95.648932	0.5	comb 	subHits
98.692813	0.5	car 	subCR
104.238057	0.5	jam 	subMiss
109.787453	0.5	tiger 	subFA
119.329843	0.5	tights 	subCR
125.369871	0.5	cheetah 	subHits
132.415162	0.5	ladle 	subHits
135.957764	0.5	magpie 	n/a
143.504039	0.5	anchor 	subHits
151.047803	0.5	butterfly 	subMiss
160.087028	0.5	celery 	subFA
168.13145	0.5	deer 	subFA
172.174058	0.5	coffeemachine 	subHits
180.213182	0.5	ball 	subFA
184.753057	0.5	belt 	subFA
194.299075	0.5	rice 	subHits
204.847736	0.5	sultana 	subHits
208.392181	0.5	daisy 	subFA
216.936774	0.5	dates 	subFA
222.981068	0.5	otter 	subHits
226.519932	0.5	cockerel 	subFA
233.564812	0.5	hippo 	subHits
241.108618	0.5	leopard 	subHits
252.152901	0.5	peacock 	subHits
256.702614	0.5	bee 	subHits
260.751999	0.5	bowl 	subHits
270.294889	0.5	banjo 	subFA
279.840039	0.5	eucalyptus 	subHits
286.882941	0.5	dice 	subHits
289.929016	0.5	cheese 	subCR
296.471727	0.5	cello 	subFA
306.510607	0.5	slug 	subHits
313.550594	0.5	clamp 	subHits
317.096262	0.5	spider 	subHits
327.63957	0.5	worm 	subFA
332.678014	0.5	ear 	subHits
337.218069	0.5	blueberry 	subMiss
343.26356	0.5	shawl 	subCR
350.806495	0.5	heron 	n/a
359.345858	0.5	Kettle 	subCR
366.885458	0.5	jacket 	subHits
375.930239	0.5	camera 	subHits
385.982992	0.5	pineapple 	subFA
394.028366	0.5	candle 	subHits
404.577283	0.5	skunk 	subHits
411.120409	0.5	cauliflower 	subHits
422.1599	0.5	rifle 	subFA
427.198279	0.5	guitar 	subHits
432.244488	0.5	gunieapig 	subFA
438.293817	0.5	giraffe 	subFA
448.342842	0.5	wolf 	subCR
453.392331	0.5	jeep 	subCR
463.441269	0.5	shirt 	subHits
468.490754	0.5	hair 	subFA
479.539627	0.5	goose 	subHits
488.083292	0.5	fox 	subFA
492.122835	0.5	cart 	subFA
501.161679	0.5	foot 	subHits
512.206238	0.5	gerbil 	subFA
520.249807	0.5	rollsroyce 	subCR
526.789221	0.5	scallop 	subHits
535.828355	0.5	hamster 	subFA
541.867407	0.5	porsche 	subCR
550.407335	0.5	lizard 	subFA
554.445706	0.5	trousers 	subHits
558.985306	0.5	sweater 	subMiss
562.525463	0.5	trolley 	subHits
573.569965	0.5	rhino 	subFA
580.119265	0.5	deckchair 	subHits
