onset	duration	concept	condition
2.577272	0.5	dress 	subCR
5.62365	0.5	penknife 	subFA
14.666415	0.5	poppy 	subHits
20.205593	0.5	sardine 	subCR
30.750656	0.5	biscuit 	subHits
34.800218	0.5	pickle 	subHits
45.343214	0.5	cup 	subHits
55.382952	0.5	monkey 	subFA
58.42787	0.5	turnip 	subHits
66.976937	0.5	milk 	subFA
74.026093	0.5	robin 	subFA
79.570204	0.5	artichoke 	subHits
86.109436	0.5	cat 	subHits
95.654126	0.5	violin 	subFA
98.703729	0.5	coffeepot 	subHits
104.25308	0.5	shirt 	subCR
109.802478	0.5	prune 	n/a
119.351645	0.5	cow 	subCR
125.395321	0.5	trolley 	subFA
132.440217	0.5	tights 	subHits
135.984227	0.5	pie 	subFA
143.523355	0.5	nail 	subHits
151.062537	0.5	sword 	subFA
160.100632	0.5	dagger 	subHits
168.139877	0.5	cucumber 	subFA
172.180944	0.5	mussel 	subFA
180.225327	0.5	finger 	subFA
184.769398	0.5	bed 	subHits
194.313848	0.5	onion 	subHits
204.857475	0.5	caterpillar 	subCR
208.395952	0.5	bear 	subFA
216.941456	0.5	lettuce 	subFA
222.990882	0.5	raft 	subFA
226.535458	0.5	brandy 	subHits
233.579794	0.5	sultana 	subHits
241.129568	0.5	wheelbarrow 	subCR
252.172667	0.5	rollerskate 	subHits
256.720592	0.5	donkey 	subHits
260.760739	0.5	clarinet 	subFA
270.300321	0.5	flour 	subHits
279.845089	0.5	swing 	subCR
286.888333	0.5	sugar 	subCR
289.934241	0.5	scallop 	subHits
296.477361	0.5	clock 	subHits
306.522336	0.5	trout 	subFA
313.565506	0.5	zebra 	subFA
317.111165	0.5	bat 	subHits
327.660063	0.5	flea 	subFA
332.703224	0.5	plate 	subHits
337.249121	0.5	asparagus 	subHits
343.29238	0.5	gong 	subHits
350.832446	0.5	porsche 	subCR
359.376857	0.5	otter 	subHits
366.921189	0.5	axe 	subHits
375.965174	0.5	goose 	subHits
386.024073	0.5	courgette 	subFA
394.073248	0.5	coin 	subCR
404.622206	0.5	parsley 	subHits
411.166047	0.5	stool 	subHits
422.210589	0.5	wolf 	subHits
427.253431	0.5	emu 	subFA
432.292987	0.5	robe 	subHits
438.332102	0.5	cannon 	subFA
448.377509	0.5	yatch 	subCR
453.420739	0.5	mosquito 	subCR
463.460656	0.5	coffee 	subHits
468.505544	0.5	grater 	subHits
479.554347	0.5	train 	subHits
488.098242	0.5	birch 	subCR
492.143033	0.5	seahorse 	subFA
501.192171	0.5	cigarette 	subHits
512.240951	0.5	washingmachine 	subCR
520.290084	0.5	tricycle 	subHits
526.834472	0.5	corkscrew 	subHits
535.878489	0.5	sycamore 	subHits
541.927911	0.5	lamb 	subCR
550.47701	0.5	dates 	subHits
554.520873	0.5	motorcycle 	subCR
559.060666	0.5	stove 	subHits
562.605769	0.5	elephant 	subHits
573.654553	0.5	raven 	subFA
580.198355	0.5	bow 	subHits
