onset	duration	concept	condition
2.572642	0.5	Kettle 	subHits
5.621235	0.5	melon 	n/a
14.667052	0.5	celery 	subHits
20.21654	0.5	heron 	subFA
30.765466	0.5	birch 	subHits
34.814991	0.5	crayfish 	subHits
45.363951	0.5	mosquito 	subHits
55.412876	0.5	harpoon 	n/a
58.456895	0.5	yatch 	subMiss
67.001711	0.5	otter 	subCR
74.051074	0.5	wolf 	subFA
79.59417	0.5	bagpipes 	subFA
86.139865	0.5	lips 	subCR
95.682959	0.5	mirror 	subCR
98.728533	0.5	typewriter 	subCR
104.277991	0.5	buzzard 	subCR
109.822192	0.5	slug 	subCR
119.360756	0.5	corkscrew 	subCR
125.399562	0.5	napkin 	subHits
132.44504	0.5	frisbee 	subCR
135.994669	0.5	bottle 	subFA
143.543973	0.5	fork 	subHits
151.093095	0.5	bear 	subHits
160.142242	0.5	hammer 	subCR
168.191337	0.5	apricot 	subFA
172.235698	0.5	bread 	subHits
180.280257	0.5	tractor 	subCR
184.82979	0.5	pliers 	subCR
194.379248	0.5	milk 	subCR
204.927814	0.5	oak 	subFA
208.477373	0.5	arm 	subHits
217.026519	0.5	lemon 	subHits
223.075866	0.5	patridge 	subCR
226.62556	0.5	hamster 	subCR
233.6699	0.5	kite 	subHits
241.208137	0.5	sink 	subHits
252.253085	0.5	parsley 	subHits
256.802665	0.5	sugar 	subCR
260.85215	0.5	nose 	subHits
270.401106	0.5	apron 	subHits
279.950013	0.5	frog 	subFA
286.999455	0.5	sultana 	subHits
290.04906	0.5	chicken 	subCR
296.598478	0.5	wine 	subCR
306.647514	0.5	bow 	subFA
313.696741	0.5	beetle 	subHits
317.246401	0.5	broccoli 	subHits
327.795317	0.5	seahorse 	subHits
332.838313	0.5	shotgun 	n/a
337.379102	0.5	toad 	subFA
343.423787	0.5	pillow 	subFA
350.972976	0.5	mug 	subCR
359.522135	0.5	harp 	subFA
367.066433	0.5	fox 	n/a
376.110483	0.5	watermelon 	n/a
386.159269	0.5	swan 	subFA
394.208608	0.5	cage 	n/a
404.757488	0.5	sofa 	n/a
411.306919	0.5	lion 	subFA
422.350238	0.5	blender 	subHits
427.395203	0.5	jam 	n/a
432.454766	0.5	biscuit 	n/a
438.504053	0.5	cat 	n/a
448.553149	0.5	deer 	subCR
453.602603	0.5	shirt 	n/a
463.651617	0.5	dishwasher 	subFA
468.70112	0.5	belt 	n/a
479.749971	0.5	octopus 	subHits
488.298996	0.5	microscope 	subHits
492.358725	0.5	cloak 	subHits
501.412904	0.5	shark 	subHits
512.466668	0.5	dragonfly 	subCR
520.515885	0.5	leotard 	subCR
527.06523	0.5	flour 	subHits
536.114299	0.5	dates 	subHits
542.158074	0.5	termite 	n/a
550.702779	0.5	stone 	subHits
554.752423	0.5	armchair 	n/a
559.301881	0.5	prawn 	n/a
562.851618	0.5	coat 	n/a
573.900489	0.5	elephant 	subFA
580.449854	0.5	flamingo 	subFA
