onset	duration	concept	condition
2.66523	0.5	pelican 	subMiss
5.723767	0.5	stone 	subMiss
14.773658	0.5	bayonet 	subCR
20.320249	0.5	panther 	subHits
30.87926	0.5	wheel 	subFA
34.928936	0.5	skirt 	subMiss
45.507783	0.5	turkey 	subFA
55.556612	0.5	spoon 	subMiss
58.606806	0.5	toaster 	subFA
67.156571	0.5	oven 	subFA
74.204718	0.5	nose 	subCR
79.749188	0.5	thumbs 	subHits
86.287712	0.5	snail 	subHits
95.826965	0.5	bread 	subFA
98.866706	0.5	ox 	subCR
104.405765	0.5	accordion 	subFA
109.944851	0.5	currant 	subMiss
119.490453	0.5	car 	subHits
125.532883	0.5	gin 	subMiss
132.578709	0.5	crowbar 	subCR
136.121952	0.5	unicycle 	subFA
143.697527	0.5	mushroom 	subCR
151.246715	0.5	eucalyptus 	subCR
160.290612	0.5	bolts 	subFA
168.329277	0.5	earmuffs 	subFA
172.367911	0.5	arrow 	subHits
180.413799	0.5	chestnut 	subFA
184.957463	0.5	scissors 	subHits
194.495805	0.5	napkin 	subHits
205.041243	0.5	pineapple 	subFA
208.585324	0.5	radish 	subFA
217.124016	0.5	millipede 	subHits
223.169341	0.5	crocodile 	subHits
226.712212	0.5	kiwi 	subHits
233.752343	0.5	kite 	subMiss
241.292046	0.5	deckchair 	subCR
252.330661	0.5	mat 	subHits
256.875951	0.5	ambulance 	subFA
260.925441	0.5	eel 	subFA
270.474453	0.5	tiger 	subCR
280.018259	0.5	termite 	subMiss
287.056303	0.5	butter 	subCR
290.1024	0.5	oak 	subHits
296.645487	0.5	armour 	subHits
306.690644	0.5	prawn 	subFA
313.740073	0.5	brusselsprouts 	subCR
317.284126	0.5	camera 	subHits
327.828523	0.5	calf 	subHits
332.877941	0.5	lamp 	subHits
337.421224	0.5	potato 	subFA
343.466986	0.5	buttercup 	subHits
351.010264	0.5	ear 	subFA
359.555269	0.5	spatula 	subHits
367.097817	0.5	wallet 	n/a
376.138366	0.5	lips 	subHits
386.182425	0.5	sheep 	subFA
394.231638	0.5	clam 	subHits
404.775165	0.5	beer 	subFA
411.320054	0.5	owl 	subFA
422.369259	0.5	screw 	subFA
427.411293	0.5	deer 	subFA
432.451297	0.5	peacock 	subFA
438.491902	0.5	sandpaper 	subHits
448.536153	0.5	eagle 	subHits
453.587751	0.5	piano 	subFA
463.634537	0.5	chisel 	subCR
468.677485	0.5	leopard 	subHits
479.722979	0.5	starling 	subCR
488.272086	0.5	coach 	subFA
492.315393	0.5	wine 	subFA
501.353852	0.5	spade 	subHits
512.402359	0.5	butterfly 	subCR
520.448849	0.5	strawberry 	subFA
526.998184	0.5	mirror 	subHits
536.041828	0.5	avocado 	subFA
542.086606	0.5	dragonfly 	subHits
550.6291	0.5	squirrel 	subFA
554.675386	0.5	crossbow 	subCR
559.21942	0.5	bean 	subFA
562.758255	0.5	glodfish 	subHits
573.797606	0.5	apron 	subFA
580.342711	0.5	sparrow 	subMiss
