onset	duration	concept	condition
2.69226	0.5	pistol 	subHits
5.752175	0.5	biscuit 	subCR
15.300985	0.5	leg 	subMiss
21.420715	0.5	mango 	subCR
31.971047	0.5	dress 	subMiss
36.018834	0.5	dog 	subCR
47.061419	0.5	candle 	subHits
57.106615	0.5	apron 	subHits
60.656228	0.5	caravan 	subHits
69.7053	0.5	key 	subCR
77.248256	0.5	asparagus 	subFA
82.78706	0.5	carrot 	subHits
89.826116	0.5	celery 	subFA
99.865679	0.5	carnation 	subHits
103.405017	0.5	eagle 	subCR
109.444468	0.5	grenade 	subCR
114.984446	0.5	accordion 	subHits
125.023334	0.5	prune 	subHits
131.578819	0.5	nose 	subFA
138.621506	0.5	seahorse 	subFA
142.161421	0.5	pony 	subFA
149.70048	0.5	champagne 	subHits
157.739846	0.5	yoghurt 	subHits
167.280416	0.5	rat 	subHits
175.818902	0.5	lorry 	subFA
180.358886	0.5	earmuffs 	subHits
188.402959	0.5	cushion 	subCR
191.452643	0.5	turkey 	subCR
196.496151	0.5	sledge 	subCR
206.035305	0.5	daffodil 	subCR
217.074973	0.5	termite 	subCR
221.119659	0.5	mirror 	subHits
229.661504	0.5	clock 	subHits
236.202677	0.5	beetle 	subHits
239.747635	0.5	mushroom 	subFA
246.790267	0.5	crayfish 	subCR
254.836147	0.5	mosquito 	subCR
265.879292	0.5	walrus 	n/a
270.924488	0.5	raspberry 	subHits
275.473907	0.5	trowel 	subHits
285.552934	0.5	snail 	subCR
295.095987	0.5	cart 	subCR
302.634341	0.5	hoe 	subHits
305.675395	0.5	armour 	subHits
312.214371	0.5	radish 	subMiss
322.759038	0.5	desk 	subHits
330.308231	0.5	porsche 	subMiss
334.351105	0.5	calf 	subHits
345.391028	0.5	elephant 	subHits
350.930797	0.5	radio 	n/a
355.475721	0.5	flour 	subCR
361.519926	0.5	frog 	subHits
369.559086	0.5	bin 	subFA
378.603362	0.5	ant 	subMiss
386.152548	0.5	kangaroo 	subFA
395.701534	0.5	cockerel 	subCR
405.744186	0.5	butter 	subFA
413.783015	0.5	strainer 	subHits
416.822888	0.5	moose 	subHits
427.368273	0.5	flute 	subHits
434.417832	0.5	skunk 	subHits
445.461098	0.5	rhubarb 	subCR
448.506109	0.5	cloak 	subMiss
453.549835	0.5	bolts 	subMiss
459.095105	0.5	sink 	subCR
465.637883	0.5	bench 	subCR
476.176865	0.5	tulip 	subHits
481.716559	0.5	buttercup 	subFA
492.26167	0.5	cage 	subHits
497.305997	0.5	unicycle 	subFA
505.85041	0.5	courgette 	subFA
510.399741	0.5	bat 	subCR
519.448812	0.5	grapefruit 	subHits
527.998041	0.5	ear 	subHits
535.041195	0.5	microscope 	subHits
544.081292	0.5	stove 	subHits
550.125842	0.5	bacon 	subCR
559.167977	0.5	bow 	subHits
563.207243	0.5	swing 	subCR
567.747601	0.5	pie 	subCR
571.793549	0.5	cake 	subHits
578.342797	0.5	lips 	subHits
