onset	duration	concept	condition
2.581563	0.5	patridge 	subFA
5.631113	0.5	mushroom 	subHits
15.180221	0.5	cockerel 	subHits
21.229586	0.5	rifle 	subHits
31.778445	0.5	oven 	subCR
35.828076	0.5	shirt 	subCR
46.876883	0.5	alligator 	subHits
56.925846	0.5	bed 	subHits
60.475464	0.5	peach 	subFA
69.526834	0.5	sweater 	subHits
77.073778	0.5	blueberry 	subHits
82.623257	0.5	olive 	subHits
89.672557	0.5	squirrel 	subCR
99.721399	0.5	bean 	subHits
103.265876	0.5	corn 	subCR
109.310412	0.5	flour 	subCR
114.859868	0.5	canoe 	subCR
124.908815	0.5	anchor 	subHits
131.458123	0.5	razor 	subHits
138.507407	0.5	poppy 	n/a
142.057073	0.5	lily 	subCR
149.606229	0.5	screw 	subMiss
157.655433	0.5	mayonnaise 	subHits
167.204405	0.5	sycamore 	subMiss
175.753516	0.5	microwave 	subHits
180.303084	0.5	penguin 	subHits
188.352227	0.5	lion 	subHits
191.40192	0.5	seahorse 	subHits
196.451562	0.5	cloak 	subHits
206.000455	0.5	scissors 	subMiss
217.049231	0.5	box 	subCR
221.098814	0.5	duck 	subHits
229.647981	0.5	drill 	subHits
236.197257	0.5	iguana 	subCR
239.741427	0.5	lips 	subHits
246.786177	0.5	clamp 	subCR
254.835336	0.5	moose 	subFA
265.884174	0.5	bus 	subCR
270.933723	0.5	pear 	subHits
275.477004	0.5	flute 	subMiss
285.522242	0.5	cauliflower 	subCR
295.071134	0.5	toaster 	subCR
302.620355	0.5	bath 	subMiss
305.670074	0.5	desk 	subHits
312.219483	0.5	peacock 	subFA
322.768307	0.5	motorcycle 	subFA
330.317584	0.5	rake 	subCR
334.36711	0.5	gin 	subHits
345.41641	0.5	chocolate 	subCR
350.965421	0.5	flounder 	subFA
355.509832	0.5	porsche 	subMiss
361.55427	0.5	tortoise 	subFA
369.603415	0.5	cello 	subHits
378.652907	0.5	sword 	subCR
386.201707	0.5	crab 	subHits
395.750735	0.5	mussel 	subCR
405.799769	0.5	dolphin 	subHits
413.849165	0.5	harpoon 	n/a
416.893076	0.5	stickinsect 	subCR
427.437518	0.5	grater 	subHits
434.486722	0.5	fridge 	subCR
445.535593	0.5	saxophone 	subFA
448.585301	0.5	scarf 	subCR
453.634746	0.5	daisy 	subMiss
459.184226	0.5	bookcase 	subFA
465.733479	0.5	bat 	subCR
476.282456	0.5	aeroplane 	subCR
481.831925	0.5	cannon 	subHits
492.380773	0.5	woodpecker 	subHits
497.430229	0.5	otter 	subHits
505.979401	0.5	tiger 	subCR
510.523167	0.5	skunk 	subCR
519.568066	0.5	flea 	subCR
528.111982	0.5	peg 	subHits
535.15652	0.5	gong 	subHits
544.205547	0.5	flamingo 	subHits
550.254921	0.5	sheep 	subCR
559.304013	0.5	heart 	subFA
563.353572	0.5	rattleske 	subCR
567.903052	0.5	cigarette 	subFA
571.952649	0.5	jelly 	subHits
578.501965	0.5	eel 	subCR
