onset	duration	concept	condition
2.577994	0.5	harpsichord 	subHits
5.627627	0.5	goat 	subMiss
14.676665	0.5	mayonnaise 	subHits
20.226093	0.5	gun 	subCR
30.76959	0.5	dice 	subHits
34.808878	0.5	rattleske 	subMiss
45.353531	0.5	clam 	subCR
55.402609	0.5	guitar 	subMiss
58.452287	0.5	hamster 	subHits
67.001383	0.5	llama 	subMiss
74.045285	0.5	aeroplane 	subHits
79.59017	0.5	peas 	subCR
86.133977	0.5	helmet 	subCR
95.678387	0.5	buttercup 	subCR
98.721328	0.5	saw 	subCR
104.262672	0.5	buffalo 	subMiss
109.801598	0.5	Kettle 	subMiss
119.34609	0.5	birch 	subCR
125.395553	0.5	eagle 	subFA
132.444756	0.5	banana 	subHits
135.994597	0.5	cockroach 	subMiss
143.537312	0.5	trout 	subFA
151.082893	0.5	rattle 	subMiss
160.125357	0.5	pistol 	n/a
168.171101	0.5	mitten 	subMiss
172.220749	0.5	wheelbarrow 	subMiss
180.264595	0.5	cloak 	subMiss
184.80939	0.5	leopard 	subMiss
194.358387	0.5	orchid 	subMiss
204.907464	0.5	axe 	subCR
208.449979	0.5	wine 	subMiss
216.996202	0.5	bacon 	subCR
223.04069	0.5	coat 	subMiss
226.585213	0.5	raft 	subCR
233.634533	0.5	broom 	subMiss
241.196858	0.5	hummingbird 	subMiss
252.236695	0.5	knife 	subMiss
256.78205	0.5	cup 	subMiss
260.831641	0.5	dishwasher 	subCR
270.380703	0.5	sheep 	subCR
279.929858	0.5	cork 	subMiss
286.979119	0.5	rat 	subFA
290.023479	0.5	cart 	subMiss
296.563003	0.5	caterpillar 	subCR
306.607021	0.5	cabbage 	subFA
313.656298	0.5	chestnut 	subMiss
317.205939	0.5	leotard 	subHits
327.755017	0.5	tarantula 	subCR
332.799633	0.5	olive 	subCR
337.344027	0.5	accordion 	subMiss
343.387813	0.5	penguin 	subMiss
350.926852	0.5	radish 	subCR
359.466409	0.5	tortoise 	subFA
367.011102	0.5	carrot 	subCR
376.053754	0.5	mat 	subHits
386.099093	0.5	pelican 	subHits
394.148483	0.5	nail 	subHits
404.691641	0.5	swan 	subCR
411.230534	0.5	grasshopper 	subMiss
422.275337	0.5	porcupine 	subHits
427.319835	0.5	whale 	subCR
432.36438	0.5	oak 	subFA
438.408383	0.5	panther 	subHits
448.452704	0.5	bear 	subCR
453.502189	0.5	hair 	subFA
463.551173	0.5	cannon 	subCR
468.595401	0.5	chipmunk 	subCR
479.634491	0.5	candle 	subCR
488.178734	0.5	desk 	subCR
492.228381	0.5	oven 	subCR
501.277269	0.5	clarinet 	subCR
512.326285	0.5	pigeon 	subCR
520.375414	0.5	skirt 	subHits
526.924755	0.5	moose 	subCR
535.968747	0.5	mouse 	subHits
542.013289	0.5	peach 	subCR
550.557032	0.5	squirrel 	subFA
554.597263	0.5	swing 	subFA
559.135775	0.5	spoon 	subCR
562.681031	0.5	buggy 	subCR
573.729883	0.5	jelly 	subHits
580.274213	0.5	umbrella 	subMiss
