onset	duration	concept	condition
2.570403	0.5	giraffe 	subFA
5.616571	0.5	kitchenscale 	subHits
14.659907	0.5	robe 	subCR
20.204991	0.5	rollerskate 	subMiss
30.75392	0.5	cheetah 	subFA
34.803571	0.5	grenade 	subFA
45.352267	0.5	swimsuit 	subHits
55.401289	0.5	belt 	subFA
58.444067	0.5	locust 	subMiss
66.98999	0.5	taxi 	subCR
74.039226	0.5	buttercup 	subMiss
79.583708	0.5	starling 	subCR
86.127923	0.5	toaster 	subHits
95.670946	0.5	wheelchair 	subHits
98.716735	0.5	elephant 	subMiss
104.260661	0.5	mango 	subCR
109.800345	0.5	horse 	subFA
119.34444	0.5	raspberry 	subHits
125.393833	0.5	mosquito 	subHits
132.443514	0.5	plum 	subHits
135.992643	0.5	apple 	subHits
143.54191	0.5	mug 	subFA
151.091025	0.5	pig 	subHits
160.134381	0.5	pillow 	subFA
168.174202	0.5	mayonnaise 	subHits
172.212865	0.5	crayfish 	subFA
180.257872	0.5	chocolate 	subHits
184.807518	0.5	moped 	subMiss
194.356396	0.5	microwave 	subHits
204.905315	0.5	octopus 	subHits
208.449307	0.5	patridge 	subCR
216.994006	0.5	frog 	subFA
223.043392	0.5	mussel 	subCR
226.588266	0.5	chestnut 	subHits
233.632287	0.5	watermelon 	subFA
241.174804	0.5	mackerel 	subFA
252.214112	0.5	gin 	subHits
256.759802	0.5	cart 	subHits
260.804471	0.5	truck 	subHits
270.348282	0.5	scissors 	subCR
279.891588	0.5	parakeet 	subHits
286.936716	0.5	coat 	subFA
289.986168	0.5	gong 	subHits
296.529371	0.5	doll 	subHits
306.574506	0.5	raven 	subCR
313.623816	0.5	rabbit 	subHits
317.173554	0.5	gown 	subFA
327.717183	0.5	spear 	subFA
332.755922	0.5	pickle 	subFA
337.294316	0.5	knife 	subCR
343.341966	0.5	trumpet 	subFA
350.889723	0.5	owl 	subMiss
359.439018	0.5	nose 	subHits
366.9817	0.5	celery 	subCR
376.027064	0.5	birch 	subHits
386.077023	0.5	saxophone 	subHits
394.119197	0.5	shirt 	subCR
404.664186	0.5	yoghurt 	subFA
411.213382	0.5	asparagus 	subFA
422.256746	0.5	ox 	subFA
427.296173	0.5	cloak 	subHits
432.334804	0.5	glodfish 	subFA
438.374213	0.5	cigar 	subHits
448.419526	0.5	grapefruit 	subFA
453.463861	0.5	milk 	subFA
463.507954	0.5	plate 	subFA
468.552046	0.5	thumbs 	subHits
479.591236	0.5	icecream 	subHits
488.135205	0.5	shark 	subCR
492.179664	0.5	sunflower 	subFA
501.223938	0.5	geranium 	subFA
512.27276	0.5	spoon 	subHits
520.321868	0.5	olive 	subFA
526.864855	0.5	kite 	subFA
535.910199	0.5	cello 	subMiss
541.959772	0.5	porcupine 	subHits
550.508724	0.5	train 	subFA
554.551452	0.5	hammer 	subHits
559.09791	0.5	skunk 	subHits
562.647515	0.5	biscuit 	subHits
573.696296	0.5	brick 	subHits
580.245602	0.5	beetle 	subFA
